date	co	TS	local	RPR	OPR	total
2007/12	17	63.0	서울	1,237,812	2,689,162	5,051,369
2007/12	17	63.0	인천	286,565	593,283	1,205,357
2007/12	17	63.0	경기	1,181,936	2,603,443	5,017,407
2007/12	17	63.0	강원	136,668	376,004	723,503
2007/12	17	63.0	대전	159,700	246,008	677,948
2007/12	17	63.0	충남	192,999	313,693	915,505
2007/12	17	63.0	충북	165,637	289,499	696,096
2007/12	17	63.0	광주	527,588	56,875	661,552
2007/12	17	63.0	전남	757,309	88,834	962,851
2007/12	17	63.0	전북	777,236	86,149	952,352
2007/12	17	63.0	부산	236,708	1,018,715	1,759,252
2007/12	17	63.0	울산	70,736	279,891	518,586
2007/12	17	63.0	대구	75,932	876,719	1,263,678
2007/12	17	63.0	경남	189,463	843,662	1,533,330
2007/12	17	63.0	경북	96,822	1,033,957	1,424,472
2007/12	17	63.0	제주	81,570	96,495	249,522